graph, cores, clique, avg_time
data/com-amazon/, 2, 4, 6.17266secs
data/com-amazon/, 2, 5, 4.64144secs
data/com-amazon/, 2, 6, 3.89629secs
data/ca-CondMat, 2, 4, 4.72736secs
data/ca-CondMat, 2, 5, 16.8368secs
data/ca-CondMat, 2, 6, 55.4345secs
data/netscience/, 2, 4, 0.381744secs
data/netscience/, 2, 5, 0.95922secs
data/netscience/, 2, 6, 2.81737secs
data/roadnet-ca/, 2, 4, 6.0157secs
data/com-amazon/, 4, 4, 5.57674secs
data/com-amazon/, 4, 5, 3.64507secs
data/com-amazon/, 4, 6, 3.08926secs
data/astroph/, 4, 4, 68.5839secs
data/astroph/, 4, 5, 1013.4secs
data/ca-CondMat, 4, 4, 4.63022secs
data/ca-CondMat, 4, 5, 15.246secs
data/ca-CondMat, 4, 6, 54.8461secs
data/netscience/, 4, 4, 0.687934secs
data/netscience/, 4, 5, 1.61972secs
data/netscience/, 4, 6, 4.44678secs
data/roadnet-ca/, 4, 4, 4.53633secs
data/com-youtube/, 4, 4, 162.106secs
data/com-youtube/, 4, 5, 456.274secs
data/com-youtube/, 4, 6, 976.159secs